channel_id,title,appearances_in_searches,subscriber_count,view_count,video_count,published_at,country,playlist_id,description
UCEg8IaqSvjzQ7Sd1ZH267dg,Data Analytics,12,2450,274674,17,2022-09-29 11:17:03.989543+00:00,Egypt,UUEg8IaqSvjzQ7Sd1ZH267dg,"Welcome to our channel! Were here to help aspiring data analysts learn the skills they need to succeed in the field. Our focus is on Tableau, MySQL, Excel and Power Bi. We aim to provide clear and concise explanations of key concepts and techniques, along with handson examples to help you learn by doing as practice makes permanent. Whether youre a beginner or an experienced data analyst, our channel has something to you. Subscribe now to stay uptodate on the latest data analysis trends and techniques."
UC5fs7PookxGfDPTo-RU0ReQ,Pavan Lalwani,29,280000,23825067,418,,India,UU5fs7PookxGfDPTo-RU0ReQ,"Fascination is one word that describes my curiosity to understand the world around me.

My Mission is to help professionals to take control of their educational, technical and business skills and present them in a way that inspires, impress and build confidence in their abilities, products and services. I have already created positive change in individuals and institutions that I have engaged and partnered with.

My Mission is to help professionals, businessman, students and freelancers to take control of their skills like Powerbi, tableau, chatgpt, excel etc and present them in a way that inspires, impress and build confidence in their abilities, products and services.

I love training people and build them technically enhanced  professionally Confident about the Products and Services related to business and analysis. It doesnt even matter who you are and what you do !!!

I never want to let my memories be greater than my dreams. 

BrandBacker

7898"
UC8uU_wruBMHeeRma49dtZKA,Chandoo,42,799000,60648543,535,,New Zealand,UU8uU_wruBMHeeRma49dtZKA,"Hello. I make you AWESOME at your work 

I make videos on Excel, Power BI  Data Analytics so that you can be awesome at your work.

 Excel  Power BI  SQL  Python  Interview Prep
 New Video Every Week  Subscribe

 My courses

Advanced Excel  httpschandoo.orgwpexcelschoolprogram
Advanced Power BI  httpschandoo.orgwppowerbicourse
Everything  httpschandoo.orgmdac



KNOW 

About me httpschandoo.orgwpabout
What Im doing now httpschandoo.orgwpnow
Stuff I use httpschandoo.orgwpaboutwhatweuse


FOLLOW 

 Website  httpschandoo.orgwp
 FREE Data tips newsletter  httpschandoo.orgwpsubscribe
 Courses  httpschandoo.orgwptrainingprograms
 Instagram   httpswww.instagram.comchandoo.xlsx


 Telugu Channel  httpswww.youtube.comchannelUCuaf89M0Lt5pmXzaUssXHvw"
UChgLj6NYHUniXGOFBPUUjuA,TechnicallyRipped,16,7220,1598388,880,,Unknown,UUhgLj6NYHUniXGOFBPUUjuA,Daily Python Tutorial Videos
UCdq65x-0_G8sMhwWNgtmXaQ,Dr. Aditi Gupta,16,60900,8392492,359,,India,UUdq65x-0_G8sMhwWNgtmXaQ,"Hey there!! I am Aditi Gupta, Founder, CEO of Techtip24  an Edtech Co., an Analytics Mentor, Corporate trainer, course creator and a working professional.

In this channel youll be able to learn about Data analytics, Data Visualization,  Business analytics, Power BI, SQL, Tableau and other latest analytics tools and  updates. 

Follow us on instagram  httpswww.instagram.comtechtip24

Aditi Gupta Linkedin Profile  httpswww.linkedin.comindraditigupta"
UCD7FERT7OXNgLYkvEyy3qGQ,Zero Analyst,14,31000,1238302,302,,India,UUD7FERT7OXNgLYkvEyy3qGQ,"Hey there, welcome to Zero Analyst! 

Were all about making data analysis feel approachable and friendly. 

Think of us as your helpful guide through the world of numbers and insights. 
Were here to gently unravel the complexities, uncover hidden patterns, and give you practical strategies to navigate through it all. 

Join us on this journey where we explore together, learn together, and empower each other to make sense of data in a way that feels natural and easy."
UCk5tiFqPvdjsl7yT4mmokmg,Data Science Tutorials,13,68700,8652707,1172,,Unknown,UUk5tiFqPvdjsl7yT4mmokmg,"In this channel, my objective is to go through R for its programming and statistical analysis technique. R is a preferred programming language for statistician and researcher because of its easy to follow programming syntax and depth of the analysis packages available."
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,50,4410000,456791938,11761,,India,UUkw4JCwteGrDHIsyIIKo4tQ,"Thank you for Subscribing! If you have not, Subscribe now!

We are a live  interactive elearning platform with the mission of making learning accessible to everyone. We offer instructorled courses, along with 247 ondemand support to achieve highest course completion rates in the industry! Our reallife projects, 247 Support, Personal Learning Managers ensure that your learning goals are met!

Special offer! Flat 20 Off on All Courses, Use Code 

By subscribing to Edureka Channel, youll never miss out on highquality videos, webinars, sample classes  lectures from industry practitioners  influencers. Our research team curates content on trending topics in the areas of DevOps, Generative AI, Data Science, Artificial Intelligence, Cybersecurity, AWS, Azure, Google Cloud, Salesforce, Blockchain, React, Python, Selenium, Tableau, PMP and many more. 

Call us on IND 9606058406  US  Other Countries 18335643323 tollfree to talk to our Course Advisors."
UCBOs6624oqScw8PaU-Jzw9A,Data Tutorials,60,198000,12492377,187,,India,UUBOs6624oqScw8PaU-Jzw9A,"Welcome to the Data Tutorials Channel! 

 Dive into the world of Data Analysis and beyond! 

If youre passionate about Data Analytics and eager to master essential tools like Power BI, Tableau, SQL, Excel, Python, AWS, Azure, and more, youve come to the right place. Our channel is your goto destination for indepth tutorials and insights on all things datarelated.

Join our evergrowing community of data enthusiasts, professionals, and learners. Whether youre a beginner or an experienced analyst, theres always something new to discover on Data Tutorials.

Subscribe now and hit that notification bell to stay uptodate with our latest uploads. Lets unlock the power of data together!

Welcome aboard!  DataTutorials datanalytics dataanalyst  powerbi  tableau  sql  excel  python  aws  azure dashboard datascience portfolio project"
UCW2E1sGBVde5WMMxEh5CW4w,sqlbelle,28,128000,3566518,165,2020-09-02 04:44:09.281150+00:00,Canada,UUW2E1sGBVde5WMMxEh5CW4w,"I share tutorials, tips and tricks on Tableau and SQL, and other datarelated topics. sometimes I share about life too.

LETS CONNECT
httpssqlbelle.ck.page

NEWSLETTER
httpssqlbelle.ck.pageposts

BLOG
httpswww.sqlbelle.com

ARTICLES
httpssqlbelle.medium.com

DIGITAL PRODUCTS  Practice sheets, sample questions, cheat sheets
httpssqlbelle.gumroad.com 

ONLINE COURSES
httpscourses.sqlbelle.com

TWITTER
sqlbelle

CUSTOM TRAINING
Please reach out by email or LinkedIn for custom training creation andor delivery.


DISCLAIMER
All views expressed here are my own and do not represent the opinion of any entity whatsoever with which I have been, am now, or will be affiliated.  Any tutorials are based on my personal workexperience with the producttechnologymethodology and provided for educational purposes only."
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,124,5480000,478497687,9829,,United States,UUsvqVGtbbyHaMoevxPAq9Fg,"Simplilearn is the worlds leading online training provider and has helped over 8 million professionals, and corporations acquire the skills they need to succeed in the digital economy. From artificial intelligence to cyber security, and from product management to software development, we work with the worlds leading universities, technology companies, and certification bodies to bring you the latest skills tied to the most rewarding careers. Whether youre a recent graduate, seasoned professional, senior executive or manager looking to upskill your organization, we have the program for you."
UCkHdBeQ4DuvBXTahMYZVlMA,Kenji Explains,26,813000,55322872,298,,United Kingdom,UUkHdBeQ4DuvBXTahMYZVlMA,"Explaining the data, business, and finance concepts I wish I had known earlier!

 Check out my courses if you want to learn more careerprinciples.com

Have a great day!"
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,13,325000,40523698,283,,United States,UUteRPiisgIoHtMgqHegpWAQ,"Hey! I am Sundas and I help you succeed in the data science and tech fields. 

I am a selftaught data scientist from nontech background, currently at a FAANG company. I have been in the industry for over 10 years across two big tech companies as a highperformer top 1.

Data Science is the hottest job family but there are many unknowns. Over the years,  I have built knowledge on how to lead a successful career and love sharing it on this channel. I share tips for people interested in entering data science with the goal to democratize knowledge and make complicated topics digestible for everyone. 

All opinions on this channel are my own and do not reflect the opinions of the company I work for or have ever worked for in the past."
UC0T6MVd3wQDB5ICAe45OxaQ,WsCube Tech,31,4130000,388015892,5789,,India,UU0T6MVd3wQDB5ICAe45OxaQ,"WsCube Tech is Vernacular Upskilling platform revolutionizing the way you learn  develop your career skills.

We understand the challenges faced by job aspirants in our country. With limited resources and lack of topnotch skill mentorship in native language, many talented individuals miss out on global job opportunities. Thats where WsCube Tech steps in.

Our mission is clear 

To bridge the gap in Indias upskilling ecosystem by providing techenabled  joboriented training programs in vernacular languages.

We believe that language should never be barrier to learning anything.

With WsCube Tech, youll gain handson skills that make you globally competitive. Our courses are designed to prepare over 100M career aspirants for the Bharat of future. 

Subscribe  join us on this transformative journey. Learn 

 Digital Marketing
 WebApp Development
 Cyber Security
 Python 
 Data ScienceAnalytics
 Programming 

For inquiries, call on 91 9269698122, 9024244886"
UCxladMszXan-jfgzyeIMyvw,Rob Mulla,17,212000,14889319,163,2021-09-26 18:25:56.754723+00:00,United States,UUxladMszXan-jfgzyeIMyvw,"Learning is fun when you are driven by curiosity. I create videos that showcase what is possible with data science and programming, hopefully sparking that very curiosity.

I try to take a diverse approach to the content I create
 Short videos that teach one specific concept.
 Tutorials that show what is possible with various python packages or machine learning models.
 Live coding streams where the topics are driven by the chat and community.

Links to my stuff
 Youtube httpsyoutube.comrobmulla?subconfirmation1
 Discord httpsdiscord.ggHZszek7DQc
 Twitch httpswww.twitch.tvRobCodesLIVE
 Twitter httpstwitter.comRobMulla
 Kaggle httpswww.kaggle.comrobikscube
 Instagram httpswww.instagram.comdatasciencerobreels"
UCCezIgC97PvUuR4_gbFUs5g,Corey Schafer,13,1480000,104338315,247,,United States,UUCezIgC97PvUuR4_gbFUs5g,"Welcome to my Channel. This channel is focused on creating tutorials and walkthroughs for software developers, programmers, and engineers. We cover topics for all different skill levels, so whether you are a beginner or have many years of experience, this channel will have something for you.

Weve already released a wide variety of videos on topics that include Python, Git, Development Environments, Terminal Commands, SQL, Programming Terms, JavaScript, Computer Science Fundamentals, and plenty of other tips and tricks which will help you in your career.


If you enjoy these videos and would like to support my channel, I would greatly appreciate any assistance through my Patreon account
httpswww.patreon.comcoreyms


You can find me on
My website  httpcoreyms.com
Facebook  httpswww.facebook.comCoreyMSchafer
Twitter  httpstwitter.comCoreyMSchafer
Google Plus  httpsplus.google.comCoreySchafer44posts
Tumblr  httpswww.tumblr.comblogmycms"
