channel_id,title,appearances_in_searches,subscriber_count,view_count,video_count,published_at,country,uploads_playlist_id,description
UCEg8IaqSvjzQ7Sd1ZH267dg,Data Analytics,12,2450,274674,17,2022-09-29T11:17:03.989543Z,EG,UUEg8IaqSvjzQ7Sd1ZH267dg,"Welcome to our channel! We're here to help aspiring data analysts learn the skills they need to succeed in the field. Our focus is on Tableau, MySQL, Excel and Power Bi. We aim to provide clear and concise explanations of key concepts and techniques, along with hands-on examples to help you learn by doing as practice makes permanent. Whether you're a beginner or an experienced data analyst, our channel has something to you. Subscribe now to stay up-to-date on the latest data analysis trends and techniques."
UC5fs7PookxGfDPTo-RU0ReQ,Pavan Lalwani,29,280000,23825067,418,2011-10-25T20:15:38Z,IN,UU5fs7PookxGfDPTo-RU0ReQ,"Fascination is one word that describes my curiosity to understand the world around me.

My Mission is to help professionals to take control of their educational, technical and business skills and present them in a way that inspires, impress and build confidence in their abilities, products and services. I have already created positive change in individuals and institutions that I have engaged and partnered with.

My Mission is to help professionals, businessman, students and freelancers to take control of their skills like Powerbi, tableau, chatgpt, excel etc and present them in a way that inspires, impress and build confidence in their abilities, products and services.

I love training people and build them technically enhanced & professionally Confident about the Products and Services related to business and analysis. It doesn't even matter who you are and what you do !!!

I never want to let my memories be greater than my dreams. 

#BrandBacker

7898

"
UC8uU_wruBMHeeRma49dtZKA,Chandoo,42,799000,60648543,535,2009-05-02T06:44:42Z,NZ,UU8uU_wruBMHeeRma49dtZKA,"👋 Hello. I make you AWESOME at your work 😎

I make videos on Excel, Power BI & Data Analytics so that you can be awesome at your work.

✅ Excel ~ Power BI ~ SQL ~ Python ~ Interview Prep
✅ New Video Every Week ~ Subscribe

💻📗 My courses

Advanced Excel 👉 https://chandoo.org/wp/excel-school-program/
Advanced Power BI 👉 https://chandoo.org/wp/power-bi-course/
Everything 👉 https://chandoo.org/mdac

~

KNOW 😀

About me: https://chandoo.org/wp/about/
What I'm doing now: https://chandoo.org/wp/now/
Stuff I use: https://chandoo.org/wp/about/what-we-use/


FOLLOW 🚶‍♀️🚶‍♂️

🌐 Website - https://chandoo.org/wp/
📃 FREE Data tips newsletter - https://chandoo.org/wp/subscribe/
📚 Courses - https://chandoo.org/wp/training-programs/
📷 Instagram -  https://www.instagram.com/chandoo.xlsx/


💥తెలుగు Telugu Channel - https://www.youtube.com/channel/UCuaf89M0Lt5pmXzaUssXHvw/
"
UChgLj6NYHUniXGOFBPUUjuA,TechnicallyRipped,16,7220,1598388,880,2015-12-06T01:14:15Z,,UUhgLj6NYHUniXGOFBPUUjuA,"Daily Python Tutorial Videos
"
UCdq65x-0_G8sMhwWNgtmXaQ,Dr. Aditi Gupta,16,60900,8392492,359,2017-09-24T11:05:09Z,IN,UUdq65x-0_G8sMhwWNgtmXaQ,"Hey there!! I am Aditi Gupta, Founder, CEO of Techtip24 ( an Ed-tech Co.), an Analytics Mentor, Corporate trainer, course creator and a working professional.

In this channel you'll be able to learn about Data analytics, Data Visualization,  Business analytics, Power BI, SQL, Tableau and other latest analytics tools and  updates. 

Follow us on instagram : https://www.instagram.com/techtip24/

Aditi Gupta Linkedin Profile : https://www.linkedin.com/in/dr-aditi-gupta



"
UCD7FERT7OXNgLYkvEyy3qGQ,Zero Analyst,14,31000,1238302,302,2013-04-22T09:28:09Z,IN,UUD7FERT7OXNgLYkvEyy3qGQ,"Hey there, welcome to Zero Analyst! 

We're all about making data analysis feel approachable and friendly. 

Think of us as your helpful guide through the world of numbers and insights. 
We're here to gently unravel the complexities, uncover hidden patterns, and give you practical strategies to navigate through it all. 

Join us on this journey where we explore together, learn together, and empower each other to make sense of data in a way that feels natural and easy.
"
UCk5tiFqPvdjsl7yT4mmokmg,Data Science Tutorials,13,68700,8652707,1172,2015-11-01T13:15:24Z,,UUk5tiFqPvdjsl7yT4mmokmg,"In this channel, my objective is to go through R for its programming and statistical analysis technique. R is a preferred programming language for statistician and researcher because of its easy to follow programming syntax and depth of the analysis packages available."
UCkw4JCwteGrDHIsyIIKo4tQ,edureka!,50,4410000,456791938,11761,2012-06-29T06:12:26Z,IN,UUkw4JCwteGrDHIsyIIKo4tQ,"Thank you for Subscribing! If you have not, Subscribe now!

We are a live & interactive e-learning platform with the mission of making learning accessible to everyone. We offer instructor-led courses, along with 24/7 on-demand support to achieve highest course completion rates in the industry! Our real-life projects, 24*7 Support, Personal Learning Managers ensure that your learning goals are met!

Special offer! Flat 20% Off on All Courses, Use Code ""𝐘𝐎𝐔𝐓𝐔𝐁𝐄𝟐𝟎""

By subscribing to Edureka Channel, you'll never miss out on high-quality videos, webinars, sample classes & lectures from industry practitioners & influencers. Our research team curates content on trending topics in the areas of DevOps, Generative AI, Data Science, Artificial Intelligence, Cybersecurity, AWS, Azure, Google Cloud, Salesforce, Blockchain, React, Python, Selenium, Tableau, PMP and many more. 

Call us on IND: 9606058406 / US & Other Countries: +18335643323 (toll-free) to talk to our Course Advisors."
UCBOs6624oqScw8PaU-Jzw9A,Data Tutorials,60,198000,12492377,187,2013-02-07T03:16:54Z,IN,UUBOs6624oqScw8PaU-Jzw9A,"Welcome to the Data Tutorials Channel! 📊

🌟 Dive into the world of Data Analysis and beyond! 🌟

If you're passionate about Data Analytics and eager to master essential tools like Power BI, Tableau, SQL, Excel, Python, AWS, Azure, and more, you've come to the right place. Our channel is your go-to destination for in-depth tutorials and insights on all things data-related.

Join our ever-growing community of data enthusiasts, professionals, and learners. Whether you're a beginner or an experienced analyst, there's always something new to discover on Data Tutorials.

Subscribe now and hit that notification bell to stay up-to-date with our latest uploads. Let's unlock the power of data together!

Welcome aboard! 🚀📈 #DataTutorials #datanalytics #dataanalyst  #powerbi  #tableau  #sql  #excel  #python  #aws  #azure #dashboard #datascience #portfolio #project 
"
UCW2E1sGBVde5WMMxEh5CW4w,sqlbelle,28,128000,3566518,165,2020-09-02T04:44:09.28115Z,CA,UUW2E1sGBVde5WMMxEh5CW4w,"I share tutorials, tips and tricks on Tableau and SQL, and other data-related topics. sometimes I share about life too.

LET'S CONNECT
https://sqlbelle.ck.page

NEWSLETTER
https://sqlbelle.ck.page/posts

BLOG
https://www.sqlbelle.com/

ARTICLES
https://sqlbelle.medium.com/

DIGITAL PRODUCTS - Practice sheets, sample questions, cheat sheets
https://sqlbelle.gumroad.com 

ONLINE COURSES
https://courses.sqlbelle.com

TWITTER
@sqlbelle

CUSTOM TRAINING
Please reach out by email or LinkedIn for custom training creation and/or delivery.


DISCLAIMER
All views expressed here are my own and do not represent the opinion of any entity whatsoever with which I have been, am now, or will be affiliated.  Any tutorials are based on my personal work/experience with the product/technology/methodology and provided for educational purposes only.

"
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,124,5480000,478497687,9829,2009-10-29T07:21:23Z,US,UUsvqVGtbbyHaMoevxPAq9Fg,"Simplilearn is the world’s leading online training provider and has helped over 8 million professionals, and corporations acquire the skills they need to succeed in the digital economy. From artificial intelligence to cyber security, and from product management to software development, we work with the world’s leading universities, technology companies, and certification bodies to bring you the latest skills tied to the most rewarding careers. Whether you’re a recent graduate, seasoned professional, senior executive or manager looking to upskill your organization, we have the program for you. 
"
UCkHdBeQ4DuvBXTahMYZVlMA,Kenji Explains,26,813000,55322872,298,2012-11-26T16:47:16Z,GB,UUkHdBeQ4DuvBXTahMYZVlMA," 🧑‍💻 Explaining the data, business, and finance concepts I wish I had known earlier!

📚 Check out my courses if you want to learn more: careerprinciples.com

✌️Have a great day!
"
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,13,325000,40523698,283,2014-04-19T02:27:06Z,US,UUteRPiisgIoHtMgqHegpWAQ,"Hey! I am Sundas and I help you succeed in the data science and tech fields. 

I am a self-taught data scientist from non-tech background, currently at a FAANG company. I have been in the industry for over 10 years across two big tech companies as a high-performer (top 1%).

Data Science is the hottest job family but there are many unknowns. Over the years,  I have built knowledge on how to lead a successful career and love sharing it on this channel. I share tips for people interested in entering data science with the goal to democratize knowledge and make complicated topics digestible for everyone. 

All opinions on this channel are my own and do not reflect the opinions of the company I work for or have ever worked for in the past.
"
UC0T6MVd3wQDB5ICAe45OxaQ,WsCube Tech,31,4130000,388015892,5789,2015-08-22T13:22:51Z,IN,UU0T6MVd3wQDB5ICAe45OxaQ,"WsCube Tech is Vernacular Upskilling platform revolutionizing the way you learn & develop your career skills.🚀

We understand the challenges faced by job aspirants in our country. With limited resources and lack of top-notch skill mentorship in native language, many talented individuals miss out on global job opportunities. That's where WsCube Tech steps in.💹

🎯Our mission is clear: 

“To bridge the gap in India's upskilling ecosystem by providing tech-enabled & job-oriented training programs in vernacular languages.”

We believe that language should never be barrier to learning anything.

With WsCube Tech, you'll gain hands-on skills that make you globally competitive. Our courses are designed to prepare over 100M career aspirants for the 'Bharat' of future. 😊

👉Subscribe & join us on this transformative journey. Learn: 

✅ Digital Marketing
✅ Web/App Development
✅ Cyber Security
✅ Python 
✅ Data Science/Analytics
✅ Programming 

📲For inquiries, call on +91 9269698122, 9024244886
"
